20170927 183810 [CREATE_POLL] id:HZanhfJ6fyECASNm, title: toto, format:D, admin:Test, mail:
20171006 084551 [CREATE_POLL] id:wGqmZeQowT6YzSyO, title: zba, format:D, admin:zbi, mail:
20171006 104621 [CREATE_POLL] id:ryTOHcv72QKZhzL9, title: adgaig, format:D, admin:maxparevent, mail:
20171009 142351 [CREATE_POLL] id:FefhAwSf47Gcaim3, title: kh, format:D, admin:kuh, mail:
20171025 194306 [CREATE_POLL] id:NSgNQyH3YndiTY4r, title: zef, format:D, admin:zef, mail:
20171025 195959 [CREATE_POLL] id:DxntVQX9nZVIo6gK, title: azd, format:D, admin:azd, mail:
20171029 183434 [CREATE_POLL] id:LIIK9g8w2jX2nDth, title: haha, format:D, admin:scscq, mail:
20171102 171554 [CREATE_POLL] id:IrplrNIQXbJQvCS2, title: marche, format:D, admin:please, mail:
20171102 173533 [CREATE_POLL] id:ctqAYPf8T2WcJ3rP, title: cets, format:D, admin:voil, mail:
20171106 141131 [CREATE_POLL] id:HDDn7FX6PNkhabAf, title: uyiuy, format:D, admin:eyu, mail:
20171106 141614 [CREATE_POLL] id:bGX7UtMcD5okpmnL, title: u, format:D, admin:uy, mail:
